~WorkID~,~ChapterID~,~Section~,~Chapter~,~Description~
~kingjohn~,19091,5,6,~An open place in the neighbourhood of Swinstead Abbey.~
~kingjohn~,19092,5,7,~The orchard in Swinstead Abbey.~
~kinglear~,19093,1,1,~King Lear&#8217;s Palace.~
~kinglear~,19094,1,2,~The Earl of Gloucester&#8217;s Castle.~
~kinglear~,19095,1,3,~The Duke of Albany&#8217;s Palace.~
~kinglear~,19096,1,4,~The Duke of Albany&#8217;s Palace. Enter Kent, [disguised].~
~kinglear~,19097,1,5,~Court before the Duke of Albany&#8217;s Palace. Enter Lear, Kent, and Fool.~
~kinglear~,19098,2,1,~A court within the Castle of the Earl of Gloucester.~
~kinglear~,19099,2,2,~Before Gloucester&#8217;s Castle. Enter Kent and [Oswald the] Steward, severally.~
~kinglear~,19100,2,3,~The open country.~
~kinglear~,19101,2,4,~Before Gloucester&#8217;s Castle; Kent in the stocks.~
~kinglear~,19102,3,1,~A heath. Storm still.~
~kinglear~,19103,3,2,~Another part of the heath. Storm still.~
~kinglear~,19104,3,3,~Gloucester&#8217;s Castle.~
~kinglear~,19105,3,4,~The heath. Before a hovel. Storm still.~
~kinglear~,19106,3,5,~Gloucester&#8217;s Castle.~
~kinglear~,19107,3,6,~A farmhouse near Gloucester&#8217;s Castle.~
~kinglear~,19108,3,7,~Gloucester&#8217;s Castle. Enter Cornwall, Regan, Goneril, [Edmund the] Bastard, and Servants.~
~kinglear~,19109,4,1,~The heath.~
~kinglear~,19110,4,2,~Before the Duke of Albany&#8217;s Palace.~
~kinglear~,19111,4,3,~The French camp near Dover.~
~kinglear~,19112,4,4,~The French camp.~
~kinglear~,19113,4,5,~Gloucester&#8217;s Castle.~
~kinglear~,19114,4,6,~The country near Dover. Enter Gloucester, and Edgar [like a Peasant].~
~kinglear~,19115,4,7,~A tent in the French camp.~
~kinglear~,19116,5,1,~The British camp near Dover.~
~kinglear~,19117,5,2,~A field between the two camps. Alarum within.~
~kinglear~,19118,5,3,~The British camp, near Dover.~
~loverscomplaint~,19119,1,1,~A Lover&#8217;s Complaint.~
~loveslabours~,19120,1,1,~The king of Navarre&#8217;s park.~
~loveslabours~,19121,1,2,~The same.~
~loveslabours~,19122,2,1,~The same.~
~loveslabours~,19123,3,1,~The same.~
~loveslabours~,19124,4,1,~The same.~
~loveslabours~,19125,4,2,~The same.~
~loveslabours~,19126,4,3,~The same.~
~loveslabours~,19127,5,1,~The same.~
~loveslabours~,19128,5,2,~The same.~
~macbeth~,19129,1,1,~A desert place.~
~macbeth~,19130,1,2,~A camp near Forres.~
~macbeth~,19131,1,3,~A heath near Forres.~
~macbeth~,19132,1,4,~Forres. The palace.~
~macbeth~,19133,1,5,~Inverness. Macbeth&#8217;s castle.~
~macbeth~,19134,1,6,~Before Macbeth&#8217;s castle.~
~macbeth~,19135,1,7,~Macbeth&#8217;s castle.~
~macbeth~,19136,2,1,~Court of Macbeth&#8217;s castle.~
~macbeth~,19137,2,2,~The same.~
~macbeth~,19138,2,3,~The same.~
~macbeth~,19139,2,4,~Outside Macbeth&#8217;s castle.~
~macbeth~,19140,3,1,~Forres. The palace.~
~macbeth~,19141,3,2,~The palace.~
~macbeth~,19142,3,3,~A park near the palace.~
~macbeth~,19143,3,4,~The same. Hall in the palace.~
~macbeth~,19144,3,5,~A Heath.~
~macbeth~,19145,3,6,~Forres. The palace.~
~macbeth~,19146,4,1,~A cavern. In the middle, a boiling cauldron.~
~macbeth~,19147,4,2,~Fife. Macduff&#8217;s castle.~
~macbeth~,19148,4,3,~England. Before the King&#8217;s palace.~
~macbeth~,19149,5,1,~Dunsinane. Ante-room in the castle.~
~macbeth~,19150,5,2,~The country near Dunsinane.~
~macbeth~,19151,5,3,~Dunsinane. A room in the castle.~
~macbeth~,19152,5,4,~Country near Birnam wood.~
~macbeth~,19153,5,5,~Dunsinane. Within the castle.~
~macbeth~,19154,5,6,~Dunsinane. Before the castle.~
~macbeth~,19155,5,7,~Another part of the field.~
~macbeth~,19156,5,8,~Another part of the field.~
~measure~,19157,1,1,~An apartment in the DUKE&#8217;S palace.~
~measure~,19158,1,2,~A Street.~
~measure~,19159,1,3,~A monastery.~
~measure~,19160,1,4,~A nunnery.~
~measure~,19161,2,1,~A hall In ANGELO&#8217;s house.~
~measure~,19162,2,2,~Another room in the same.~
~measure~,19163,2,3,~A room in a prison.~
~measure~,19164,2,4,~A room in ANGELO&#8217;s house.~
~measure~,19165,3,1,~A room in the prison.~
~measure~,19166,3,2,~The street before the prison.~
~measure~,19167,4,1,~The moated grange at ST. LUKE&#8217;s.~
